# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
2.492500e+02 -2.726041e+01 4.834266e+02
2.497500e+02 1.915465e+02 4.834266e+02
2.502500e+02 -1.086465e+02 4.834266e+02
2.507500e+02 -5.683953e+01 4.834266e+02
2.512500e+02 -1.000326e+02 4.834266e+02
2.517500e+02 -4.522560e+01 4.834266e+02
2.522500e+02 -9.041864e+01 4.834266e+02
2.527500e+02 -1.361168e+01 4.834266e+02
2.532500e+02 2.271953e+02 4.834266e+02
2.537500e+02 8.000225e+01 4.834266e+02
2.542500e+02 1.078092e+02 4.834266e+02
2.547500e+02 1.261617e+01 4.834266e+02
2.552500e+02 -5.157686e+01 4.834266e+02
2.557500e+02 -2.376990e+01 4.834266e+02
2.562500e+02 2.903706e+01 4.834266e+02
2.567500e+02 5.284402e+01 4.834266e+02
2.572500e+02 5.650986e+00 4.834266e+02
2.577500e+02 -1.654205e+01 4.834266e+02
2.582500e+02 -1.173509e+01 4.834266e+02
2.587500e+02 -1.049281e+02 4.834266e+02
2.592500e+02 1.687884e+01 4.834266e+02
2.597500e+02 6.368580e+01 4.834266e+02
2.602500e+02 -1.415072e+02 4.834266e+02
